vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
vẫn,"Kuvươk, (nơâm)",Cu-vươk,,,,Bru.txt
Vấn,Chĩng,ching,,,,Bru.txt
Vần đi,Vih,vih,,,,Bru.txt
Vận động,"Radững, rakiauq","ra đưưng, ra kiauq",,,,Bru.txt
Vâng,Ợq,ợ,,,,Bru.txt
Vâng lời,ĩt santoiq,ítxăn-tọiq,,,,Bru.txt
Vấp,"Tũl, kaldốh, klúh","Tũl, kaldốh, klúh",,,,Bru.txt
Vật nuôi,Mantán,Măn-tăn,,,,Bru.txt
Vầu,Alia,a lia,,,,Bru.txt
Vẫy,Kuvoiq,cu voiq,,,,Bru.txt
Vây (cá),Kanchíh,căn nchíh,,,,Bru.txt
Vậy (là từ đệm),Kíq,Kỉ-q,,,,Bru.txt
Vây lại,"Savang, kavang","xa lôôi, a lôôi",,,,Bru.txt
Ve (chó),Kupễt,k cờ pễt,,,,Bru.txt
Vẻ vang,Dóh parchia put,Đóh par-chia put,,,,Bru.txt
Ven,"Pễr, tor, kễng","Pễr, tor, kễng",,,,Bru.txt
Vét,Kayễt,ca det,,,,Bru.txt
Vẹt,"Avĩt, atễt","a vít, a tệt",,,,Bru.txt
Về,Chu,chù,,,,Bru.txt
Về nghỉ hưu (nghỉ việc),Chu ralu ranáq,chù ra lù ra nả,,,,Bru.txt
Về nhà,Chu dống,chù đôông,,,,Bru.txt
Vệ sinh,Rasa,Ra-xa,,,,Bru.txt
Về xã,Chu sáq,chù xã,,,,Bru.txt
Vết hằn,"Parlứm, trúk","par lừm, trụuc",,,,Bru.txt
Vi phạm,Táq lôih kanot,Tảq lôìh ca-not,,,,Bru.txt
"Vị trí, Chỗ dựa",Raku,ra cù,,,,Bru.txt
Việc hoàn thành,Ranáq sabuôn,ranáq xa buôn,,,,Bru.txt
Việc quan trọng,Ranáq karơak,ranáq ca rặc,,,,Bru.txt
Việc tổ chức,Ranáq dóh pang,Ra-nảq đóh pang,,,,Bru.txt
Viêm mũi,a-ĩ klống múh,a- i cơ lôông,,,,Bru.txt
Viêm phổi,A-ì săh,A-i xăh,,,,Bru.txt
Viên,Ắk,Ắc,,,,Bru.txt
Viện bảo tàng,Dong doq tếk pưn phễn,Đông đọq tec pừn phen,,,,Bru.txt
Viên thuốc,Ắk parlai,Ắk parlai,,,,Bru.txt
Viếng,"Meq, pỡq meq","mẻ, pợ mẻ",,,,Bru.txt
Viết,Chĩk,Chíc,,,,Bru.txt
Viết bài,Chĩk liang saráq,Chìc liang xa-rả-q,,,,Bru.txt
Viết chừ đẹp,Chĩk saráq 0,Chic xa-rá-q ò,,,,Bru.txt
Viết đẹp,Chĩk 0,Chic ò,,,,Bru.txt
Vịn,"Katơăng, sitơâp, pơah","Katơăng, sitơâp, pơah",,,,Bru.txt
Vịnh,Phoq dỡq lứn,Phọq đợq lừn,,,,Bru.txt
Vinh dự,Sa-ỡr,xa-ỡr,,,,Bru.txt
Vit,Atia,A-tìa,,,,Bru.txt
Vịt,atia,a tiaa,,,,Bru.txt
Vò,Khang,khang,,,,Bru.txt
Vỏ,"Ntrơăng, ndăh","ần trơăng, ần dăh",,,,Bru.txt
Vó (ngựa),Kachop,ca chop,,,,Bru.txt
Vo gạo,Sarau,xa rao,,,,Bru.txt
Voi,Achĩang,A-chiang,,,,Bru.txt
Vòi voi,Ravưi,ra vưi,,,,Bru.txt
Võng,Vơăng,vơăng,,,,Bru.txt
Vòng cổ,Sương,xương,,,,Bru.txt
Vọng ra Vang lên,Kanuang,ca nuang,,,,Bru.txt
Vòng tay,Kăng,câng,,,,Bru.txt
Vòng tròn lại,Kavang,ca vang,,,,Bru.txt
Vót,"Chễh, koiq","chễh, cọi",,,,Bru.txt
