vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
À,Bớh,Bớh,,,,Bru.txt
Ai,Nơau,Nào,"Ta ngái nái, lưp hái bữn nơau ắq mơat tỡ bữn?",Ta-ngay nay ỉưp hay bưn nao ắ-q mặt tơ bưn ?,"Hôm nay, lớp chúng ta có ai vắng không?",Bru.txt
"Ái nam, ái nữ",Mong,Moong,"ơq! Hếq mũ sễm tắk au klok, kôn ramơong, tin kờp kasái savar","Ợ7 Hể-q mu xem tắc ao cơ-ỉoc, côn ra-mong, tin cơp ca-xay xa-var.","Dạ! Chúng em mang áo trắng, quân xanh, đi dép quai hậu.",Bru.txt
An ủi,Aliam mứt luam,A-liam mứt loam,Aliam mứt luam,A-ỉiam mứt loam,An ủi,Bru.txt
An ủi,Aliam,Aliam,,,,Bru.txt
Anh,Ai,Ài,,,,Bru.txt
Anh dũng,Khếh karianh,khểh ca-rian,,,,Bru.txt
Anh em cọc chèo,Pual ái,poal ay,,,,Bru.txt
Anh hùng,Karianh o,ca-rian ò,Máh mũ a-ễm bữn samớm chanchớm la,Máh mu a-em bưn xar-nâm chan-châm ỉà,Chúng em đều có cảm nghĩ rằng,Bru.txt
Anh rể (đàn bà gọi),Sai,Xai,,,,Bru.txt
Anh rể (đan ông gọi),Mahai,ma hai,,,,Bru.txt
Anh ruột,Ai ruaiq (amiang),ài roái,"Kon klúng ai la kon mansễm mă kon samiang, kumo nái sếq chô kumo chơ ?","Con cờ-ỉung ai ỉa con măn-xem mà con xa-mỉang,cu- mo nay xểq chô cu-mo chơ ?","Con đầu của anh là con trai hay con gái, năm nay bao nhiêu tuổi rồi ?",Bru.txt
Ao,Amống,A mống,"Mắq bữn máh klóng talĩng put khỗ riang klóng talĩng Sông ,klóng talĩng Kăk","mà bưn máh cờ-lóng ta-lỉngput khô riang cờ-ỉóng ta-lỉng Sung, cờ-lóng taỉỉng Cóc","Nhưng có các hồ lớn như hồ Sung , hồ Cóc",Bru.txt
Áo,Au,Ao,,,,Bru.txt
Ào ào,Hĩau Hĩau,hiau hiau,,,,Bru.txt
Ào ào ( ầm ầm),Tơom tơom,Tòm tòm,Bar song dỡq put tê plõ’ kóh sarỡih satrúh tơom tơom asễng chu tĩn klok lalár riang bar lám paluak achĩang lứq nêuq,Bar xong đợq put tê pờ-lơ cóh xa-rơih xa-trủh tòm tòm a-xeng chu tin cơ- loc la-ỉãr riang bar lăm pa-ỉoạc a-chiang ỉửq nệuq,Hai dòng nước lớn từ đỉnh núi cao âm âm đô xuống chân thác trắng xóa như hai chiêc ngà voi trông rất đẹp,Bru.txt
Áo ấm,Au Sa-âm,Ao xa-âm,Kỗ nắq sễm tuỗt au sa-âm?,Cô ân-nã-q xem tuôt ao xa-âm ?,Tại sao em cởi áo ấm?,Bru.txt
Ao cá,Amống sĩaq,a môông xiá,,,,Bru.txt
Áo dài,Au tuar,ao tuar,,,,Bru.txt
Áo nữ,Ayơăh,a dơaq,"Tâmpắk mansễm Brũ Vân kiêu dốq tắk la sakât sớn Tamúk,sóp ayơăh Sanún, kớp plỡ chĩng khán Dam.","Tâm-păc măn-sem Brũ Vân Kiều đổq tắc lá xa-cât sân Ta-Mục, sấp a-dăh Xà-Nùn cập pờ-lơ ching khăn Đam.","Trang phục phụ nữ Brũ Vân Kiều thường mặc là mang váy Ta-Mục,mặc áo Xa-Nùn và đầu chít khăn Đam",Bru.txt
Áo sơ mi,Au atĩ tuang,ao a ti toang,,,,Bru.txt
Áo vét,Au vễt,ao vét,,,,Bru.txt
"Áo, áo nữ","Au , Ayoăh,","Ao, A-dăh","Tâng tỗ ayoăh Sanún,mpứng dĩ tatia bữn bar lansor nũôt yat téh tâng lơap dam kusáu tanh pachĩr.","Tâng tô a-dăh Xà-Nùn,âm-pừng đi ta-tỉa bưn bar ỉan- sor nuôt dat téh tâng lặp dam cu-xau tanh pa-chỉr","Trên than áo Xà-nùn, ở giữa ngực có hai hàng nút bạc đính chặt vào cạp lụa đỏ có thêu hoa văn.",Bru.txt
"Ẵmm, Bế",Ka-ữ,ca ưư,,,,Bru.txt
Ăn,"Cha	""",Cha,Mũ hái chỗi rơăh pánh nhéq sarán arưih la kỗ kariaq,Mu hay chôi răh pảnh nhẻq xa-rản a-rưih ỉa cô ca-rỉaq xa-rản a-rưỉh ỉa man-tắt ca-rỉaq pang ơt cha hay bưm ?,Chúng ta không được săn bắt thú rừng bởi vì bảo vệ thú rừng chính là bảo vệ cuộc sống của chúng ta .,Bru.txt
Ăn cắp,Ta tuôiq,ta tuối-q,,,,Bru.txt
Ăn cơm,Cha dỗi,Cha đôi,ơq ! Hái ĩt tuôh tangan cha dỗi.,Ợq ! Hay it tuôh ta-ngan cha đôi,Dạ! Chúng ta dùng chén đũa để ăn cơm.,Bru.txt
Ăn măc,Tắk cha,Tấc cha,"Tabữ nái, mũ sễm tắk tễng krơng nnăq?","Ta-bư nay, mu xem tắc teng ca-rờng ân-nã-q ?","Chiều nay, các em ăn mặc như thế nào?",Bru.txt
Ăn ở,ỡt cha,ớt cha,"Thưa avia karu! La-ữt xa-ưi tangái ,kasâi bữn pang rapuq ralôq^ dỡq put táq khlỗi dống SŨ, rúng ralốh sarnóh sarbong, táq yỗn pang ỡt cha kũai prơai ramóh sa-ữi túh kơat.","Thưa a-via cà-rùỉLa-ưtxa-ưi ta-ngay ca-xây bưn pang ra-pụq ra-ỉộq đợq put tảq kh-ỉôi đông xũ, rùng ra-ỉôh sar-nóh sar-bông, tảq dôn pang ơt cha coaỉ pray ra- móh xa-ưi túh cặt.","Thưa cô! ngày càng nhiều trận bão lũ, lụt lớn làm trôi nhà của,hư hại hoa màu, làm cho đời sống người dân gặp nhiều khó khăn.",Bru.txt
Ăn uống,Cha chók,Cha chóc,ơq! Koq hếq mũ sễm cha chók bráh brĩêl,ơq! cỏq hểq mu xem cha chóc brảh brỉêỉ,Dạ! Chúng em phải ăn uống họp vệ sinh,Bru.txt
Ầm,Ralơâm,ra lâm,Tatỡng ralơâm ralứk,Ta-tơng ra-ỉâm ra-ỉực,Nói chuyện ồn ào,Bru.txt
Ấm,Thớm,thâm,Thớm,Thâm,Ném,Bru.txt
ấm (tt),Sa-âm,xa âm,"Katữ leng sangễt, mũ a-ễm kóq sớp yỗn sa-âm nơ !","Ca-tư leng xci-nghet, mu a-em cỏq xáp dôn xa-âm nơ!","Vàomùa đông, các em phải mặc cho ấm nhé!",Bru.txt
"ậm à, ậm ờ","Tưl vưl, ngứl ngungứl","tưl vưl,ngưl ngun ngưl",,,,Bru.txt
ầm ầm,Tangkưr,tăng kưr,,,,Bru.txt
Âm ĩ,Kái pakái,cáy pa cay,,,,Bru.txt
ầm ĩ,Ralơăm ralứk,ra lâm ra lức,,,,Bru.txt
Ấm no,Pasâi sa-âm,Pa-xây xa-âm,,,,Bru.txt
Âm thanh,Sa mữơng,xa mương,,,,Bru.txt
ấp,Viang put,viang pùt,"Tâng máh kumo 1958 - 1959, Míq Yiêm dừng máiq kứl kũai tuô bon, ỡt Hương An (Sáq Hương Tân tiaq) chơak chóh dỗn, chóh viang put nơân viq kũai vil",,"Trong những năm 1958-1959, Mỹ - Diệm lê mảy chém khăp nơi, ở Hướng An (xã Hướng Tân cũ) địch xây đôn, lập ấp chiến lược đế vây ẻp bà con.",Bru.txt
ập đến,Parlưh,par lưk,,,,Bru.txt
Bà,"Ayơaq, yơaq",A-dã,"Mpiq kayak, tỡ ễn la mu náq kũai ayơaq thâu tâng tàng kayák táq rit sarơah ayững yỗn niang chám dông","Ầm-pịq ca-dac, tơ en la mu nàq coaì a-dảq thâu tâng tăng ca-dac tảq ritxa-rah a-dung dôn niang chăm đông",Mẹ chồng hoặc là một người bà lớn tuôi trong họ nhà trai sẽ làm lễ rửa chân cho cô dâu.,Bru.txt
Ba (3),Pái,Pay,Bữn pái chứt lapái náq.,Bưn pay chứt ỉa-pay nả-q,Có ba mươi ba bạn.,Bru.txt
Bà con xóm làng,Kũai vil,coai vil,"Tâng máh kumo 1958 - 1959, Míq Yiêm dừng máiq kứl kũai tuô bon, ỡt Hương An (Sáq Hương Tân tiaq) chơak chóh dỗn, chóh viang put nơân viq kũai vil",,"Trong những năm 1958-1959, Mỹ - Diệm lê mảy chém khăp nơi, ở Hướng An (xã Hướng Tân cũ) địch xây đôn, lập ấp chiến lược đế vây ẻp bà con.",Bru.txt
Bà già,Ayơaq thâu,a dã thâu,"Mpiq kayak, tỡ ễn la mu náq kũai ayơaq thâu tâng tàng kayák táq rit sarơah ayững yỗn niang chám dông","Ầm-pịq ca-dac, tơ en la mu nàq coaì a-dảq thâu tâng tăng ca-dac tảq ritxa-rah a-dung dôn niang chăm đông",Mẹ chồng hoặc là một người bà lớn tuôi trong họ nhà trai sẽ làm lễ rửa chân cho cô dâu.,Bru.txt
Bã mía,Nhyáh,nhía,,,,Bru.txt
Ba mươi,Pái chứt,Pái chứt,Bữn pái chứt lapái náq,Bưn pay chứt ỉa-pay nả-q,Có ba mươi ba bạn,Bru.txt
Bà nội,Ayơaq oq,a dã oó,,,,Bru.txt
Bà ngoại,Ayơaq muq,a dã múq,,,,Bru.txt
Bã rượu,Achiak ?,a chia,,,,Bru.txt
Bã trầu,"Yáh, nhyáh",dzah,,,,Bru.txt
Bác,Bak,Bac,"Bar pái tangái nái nnắq KaRai tỡ bữn pỡq riên nơâng, bơ bak ?","Bar pay ta-ngay nay ân-nảq Ca-Rai tơ bưn pợq riên nâng, bơ bác ?","Mây ngày hôm nay sao KaRai không đi học, hả bác ?",Bru.txt
Bác gái,Bak kán,bac căn,,,,Bru.txt
Bác ruột,Bak ruaiq,bac roại,,,,Bru.txt
Bác sĩ,Bak síq,Bac sỉ-q,,,,Bru.txt
Bác sĩ,Mo palai put,Mo Pa-laì put,,,,Bru.txt
Bác trai,Bak kũnh,bac cuun,,,,Bru.txt
Bãi đá,Krốh,Krốh,,,,Bru.txt
Bài tập,Liang riên lái,Liang rỉên lày,Máh nhia táq liang riên lái.,Mả-h nhỉa tả-q ỉỉang riên lay.,Các em làm bài tập,Bru.txt
Bài trừ,Kliah táh,ca lía tah,,,,Bru.txt
"Bám, Ôm",Kĩau,ciau,,,,Bru.txt
Bàn,Pian liar,Pian lỉa-r,"Tabữ nái, Máh mũ sễm karang pian liar, pian raku achỗn tâng lưp nỡ!","Ta-bư nay, má-h mu xem ca-rang pỉan lỉa-r, pỉan ra-cu a- chôn tâng ỉưp nơ /","Chiều nay, các em khiêng bàn ghế lên lớp nghe!",Bru.txt
Bán,Chếq,Chểq,"A-ễm dáng sanua nái, muôi kilôgam ắk kuphê kháu chếq tâng pa ralê, rapuk chia máh léq praq tỡ băn ?","A-em đăng xa-noa nay, muôi kilôgam ắc cu-phê cơ-lau chếq tâng pa ra-lệ, ra-púc chiaq máh lºa pơråq to bun?",Em có biết hiện nay một kg hạt cà phê tươi bán trên thị trường là bao nhiêu tiền không ?,Bru.txt
Bạn,Yớu,Dâu,Nhêng máh yớu riên. Nơau tỡ bữn riên atỡng lơah yỗn anhi karu nơ!,Nhêng má-h dâu riên. Nao tơ bưn rỉên a-tơng ỉả-h dôn a-nhì cà-rù nơ /,Xem các bạn học. Ai không học báo lại cho thầy nhé,Bru.txt
Bạn bè,Yớu bâi,dâu bây,,,,Bru.txt
Bàn chân,Tai ang ayững,Ta-lang a-dưng,,,,Bru.txt
Bàn chân,Talang ayững,Ta-ỉang a-dưng,,,,Bru.txt
Bản chúng tôi,Vil hếq,vil  hể,,,,Bru.txt
Bàn giao,Pachúh,pa chuh,,,,Bru.txt
Bàn giáo viên,Pian liar karu,Pian lia-r cà-rù,Kô nnắq mũ nhia karang pian liar karu ariên?,Cô ân-nẳ-q mu nhia ca-rang pỉan lia-r ca-ru a-rìêrp,Tại sao các bạn khiêng bàn giáo viên?,Bru.txt
Bạn kết nghĩa,"Kalỡ, parĩ","ca lơ,pari",,,,Bru.txt
Bản làng,Vil viang,vil viang,Đông xem ơt bon lẻ-q ?,Nhà của em ở bản Ruộng,Dống kứq sễmỡt vilRuang.,Bru.txt
Ban ngày,Tangái,Ta-ngay,"Tangái nái, takóq léq sato rasa lữp?","Ta-ngay nay, ta-cỏ-q ỉẻ-q xa-to ra-xa lưp?","Hôm nay, tổ nào trực nhật lớp?",Bru.txt
Bàn tay,Talang atĩ,ta lang ati,,,,Bru.txt
Bản thân mình,"Bữm 	""",bưm,Mũ hái chỗi rơăh pánh nhéq sarán arưih la kỗ kariaq,Mu hay chôi răh pảnh nhẻq xa-rản a-rưih ỉa cô ca-rỉaq xa-rản a-rưỉh ỉa man-tắt ca-rỉaq pang ơt cha hay bưm ?,Chúng ta không được săn bắt thú rừng bởi vì bảo vệ thú rừng chính là bảo vệ cuộc sống của chúng ta .,Bru.txt
Bản văn hoá,Vil Phêp rit 0,Vil phep rit ò,,,,Bru.txt
Bảng đen,Pian chĩk chữq,pỉan chỉc chự-q,ơq ! Tangái nái takóq muôi chut pian chĩk chữq lưp hai,Ợq! Ta-ngay nay ta-cỏ-q muôi chutpian chic chự lưp hay,Dạ! Hôm này nhóm 1 lau bảng lớp mình,Bru.txt
Báng nỏ,Tar tamiang,tar ta miang,,,,Bru.txt
Bánh,Bễng,bếng,"Kóq rươh kuplốq chóh, kóq chóq phốn, sarơah dỡq,talái abễng kóp pũô mprưi talốh ễn.","Còq rươh cu-pỉổq chỏh,cỏq cỉĩỏq phùn,xa-rah đợqt ta-lay a-beng kớp puô âm-prưi ta-lôh e.","Phải chọn giống trồng,phải bón phân, tươi nuơc, tỉa cành và trừ sâu hại nữa.",Bru.txt
Bánh tét,Bễng kỗl,bếng cỗl,,,,Bru.txt
Bão,Rapuq,Ra-pụq,"Thưa avia karu! La-ữt xa-ưi tangái ,kasâi bữn pang rapuq ralôq^ dỡq put táq khlỗi dống SŨ, rúng ralốh sarnóh sarbong, táq yỗn pang ỡt cha kũai prơai ramóh sa-ữi túh kơat.","Thưa a-via cà-rùỉLa-ưtxa-ưi ta-ngay ca-xây bưn pang ra-pụq ra-ỉộq đợq put tảq kh-ỉôi đông xũ, rùng ra-ỉôh sar-nóh sar-bông, tảq dôn pang ơt cha coaỉ pray ra- móh xa-ưi túh cặt.","Thưa cô! ngày càng nhiều trận bão lũ, lụt lớn làm trôi nhà của,hư hại hoa màu, làm cho đời sống người dân gặp nhiều khó khăn",Bru.txt
Bào (dt),Bau,bao,Prơai bau Brũ Vân kiêu bon nái ỡt cha nnắq ?,Pray bao Brũ Vân Kiều bon nay ơt cha ân-nảq ?,Đồng bào Brũ Vân kiêu nơi đây sinh sống như thế nào?,Bru.txt
Bào (đgt),Pasiêl,pa xiêl,,,,Bru.txt
Báo con,Bễu,bêêu,,,,Bru.txt
Bảo nhau,Atỡng,A tơng,"Tangái nái kứq ễ atỡng yỗn ỡi dáng ắk kia riên yũah têq bữn o tâng ranáq ruriên hán a-ễm LaHai. Parlứh cheq nái, án dốq táh riên, ruat táq tỡ bữn rapiêiq máh","Bo nay cừq ệ a-tơng dôn ơi đăng ắc kia liên doah tệ bưn o tâng ra-náq ru-riên hàn a-em La-Hai.Par-ỉứh cheq nay, ăn đổq táh riên, roat tảq tơ bưn pỉaq mảh ắc ca-not đông a-riên chơ tẻh a-xeng.","Bo nay cừq ệ a-tơng dôn ơi đăng ắc kia liên doah tệ bưn o tâng ra-náq ru-riên hàn a-em La-Hai.Par-ỉứh cheq nay, ăn đổq táh riên, roat tảq tơ bưn pỉaq mảh ắc ca-not đông a-riên chơ tẻh a-xeng.",Bru.txt
Bao nhiêu,"Máh léq, sếq",Máh lẻq,Kon ray oi ỡi máh léq chô kumo chơ ?,Con ra-doi ơi mảh ỉẻq chô cu-mo chơ ?,Con út cùa chị bao nhiêu tuổi rồi ?,Bru.txt
Báo tin,"Atỡng, thũal","a tơng, thũal","Tễ lứq dũnh thũal mbắq, kuruang kutễq Việt Nam hái la muôi talúq máh sâu kũai sễm ai.",,"Từ rất lâu đời, đát nước Việt Nam ta đã là một cộng đồng của các dân tộc anh em.",Bru.txt
Bảo vệ,Kariaq,Cà-ria-q,"Lám a-ễm ũan lứq,chanchớm la táq nnắq mă ễq kariaq pơong nái",,"Người em giận lăm,phải tìm cách bảo vệ sắn",Bru.txt
Bao xa,Yơng máh léq,Dong mảh ỉẻq,Karyiau tễ dống a-ễm tơâq dống ariên yơng máh léq ?,Car-diau tê đông a-em tâq đông a-riên dong máh lẻq?,Khoảng cách từ nhà em đến trường bao xa?,Bru.txt
Bát,Tangan,Ta-ngan,ơq ! Hái ĩt tuôh tangan cha dỗi.,Ợq ! Hay it tuôh ta-ngan cha đôi.,Dạ! Chúng ta dùng chén đũa để ăn cơm.,Bru.txt
Bát cơm cúng,Sitiaq,xi tiaq,,,,Bru.txt
Bát to,Kôm,Cồm,,,,Bru.txt
Bay,Pár,păr,,,,Bru.txt
Bảy,Tapul,Ta - pul,Yơng sâm 7 (Tapulchứt la-sỡng) kilô mễt,Dơng xâm ta-pul chứt la-xơng ki-lô-mét.,Xa khoảng 7 kilômét.,Bru.txt
Bảy mươi,Tapul chứt,Tapul chứt,,,,Bru.txt
"Bay, bay lên",Sapár,xa păr,,,,Bru.txt
Bắc ngang,Pakơan,pa càn,,,,Bru.txt
Bắc qua,Padol,pa đol,,,,Bru.txt
Băm,"Kakăh, kukăh","Kakăh, kukăh",,,,Bru.txt
Bắn,"Pánh	""",pắn,Mũ hái chỗi rơăh pánh nhéq sarán arưih la kỗ kariaq,Mu hay chôi răh pảnh nhẻq xa-rản a-rưih ỉa cô ca-rỉaq xa-rản a-rưỉh ỉa man-tắt ca-rỉaq pang ơt cha hay bưm ?,Chúng ta không được săn bắt thú rừng bởi vì bảo vệ thú rừng chính là bảo vệ cuộc sống của chúng ta .,Bru.txt
Băn khoăn,Rabũl,ra bũl,,,,Bru.txt
Bắn nỏ,Pánh tamiang,Panh ta-mỉang,,,,Bru.txt
Bắn nhau,Rapánh,ra păn,,,,Bru.txt
Bằng (đầu),Pial,pial,,,,Bru.txt
Bằng phẳng,Tapứn,ta pừn,,,,Bru.txt
Bằng xung điện,Tơâp diên,tấp điên,,,,Bru.txt
Bắp chân,Parlái long,pa lay loong,,,,Bru.txt
Bắp chuối,Mpong,ầm pòng,,,,Bru.txt
"Bắp tay, cẳng tay","Ngkăng,",ầng cơang,,,,Bru.txt
Bắp vế,Parlái lu,par lay lu,,,,Bru.txt
"Bắp,","Sapua,","Xa-poa,","Sapua, saro, rakáu. Kóq yỗn án nguaiq dỡq bráh.","Xa-pua, xa-ro, ra-cau. cỏq dôn ăn ngoạỉq đợq bráh","Ngô, thóc, gạo. Phải cho chúng uống nước sạch.",Bru.txt
Bắt,Kỗp,cốp,,,,Bru.txt
Bắt chước,Tũôiq,tuối,,,,Bru.txt
Bắt đầu,Tabắq,ta bả,,,,Bru.txt
Bắt đầu đi,Tabăq pỡq,Ta-bắ-q pợ-q,,,,Bru.txt
"Bắt lấy, Nhận",Rơap,rặp,,,,Bru.txt
Bậc,Ngkái,ầng cay,,,,Bru.txt
Bấc( đèn),"Tĩm, rơaiq tơâu","tim,roái tâu",,,,Bru.txt
Bận,Miaq,mía,,,,Bru.txt
Bẩn thỉu,Nhơp mprơâq,Nhơp âm-prâq,,,,Bru.txt
Bật lửa,Deh,đéec,,,,Bru.txt
Bất ngờ,Santár,xăn tar,,,,Bru.txt
"Bật, Vênh",Dáih,đáyh,,,,Bru.txt
Bầu,Aluôi,A-luồi,,,,Bru.txt
Bầu lên,Chóh achỗn,chóh a chôôn,,,,Bru.txt
Bầy,Krong rano to,Cơ-rơng ra-no to,,,,Bru.txt
Bẫy chặn,Atáih,a táyh,,,,Bru.txt
Bầy đàn,Kambláng,căm bờ lăng,,,,Bru.txt
Bây giờ,Sanua,xa noa,,,,Bru.txt
Bấy nhiêu,"Máh hĩ, máh ki","máh hi,máh kì",,,,Bru.txt
Bè,Ra-áu,ra àu,,,,Bru.txt
Bẻ,Déh,Đẻh,,,,Bru.txt
"Bẹ chuối, Tàu chuối",Atop,a tóp,,,,Bru.txt
Bé gái,Amoq,a mọ,,,,Bru.txt
Béo,"Plứm, nứn","Pờ lứm, nứn",,,,Bru.txt
Bẹo,Bễuq,bếu,,,,Bru.txt
Béo bệu,Tớr tutớr,Tớr tutớr,,,,Bru.txt
Béo phì,Nứn atruq,nứn a trụq,,,,Bru.txt
Bẹp,Samễp,xa mếp,,,,Bru.txt
Bẹt,Sapễt,xa pết,,,,Bru.txt
Bê,Akắq,a cơaq,,,,Bru.txt
Bến,Ntrin,ần trìn,,,,Bru.txt
Bện (chổi),Cham,chằm,,,,Bru.txt
Bền Chắc chắn,"Pakái, khâm","pa cay, khăm",,,,Bru.txt
Bên hông,Aveh,A-veh,,,,Bru.txt
Bên phải,Atơam,A-tàm,,,,Bru.txt
Bên trái,Avêr,Avêr,,,,Bru.txt
Bệnh,Mprơih,Am-prơỉh,,,,Bru.txt
Bệnh viện,Dống pũô palai,Đông pua pa-lai,,,,Bru.txt
Bếp,Tapéh,ta peh,,,,Bru.txt
Bí,Kadớk,Ca-đớc,,,,Bru.txt
Bị,Chũl,Chũl,,,,Bru.txt
Bị (hư từ),"Chũl pĩêiq, klơap","Chũl pĩêiq, klơap",,,,Bru.txt
Bí đao,Kadớk pluak,Ca-đớc pơ-loác,,,,Bru.txt
Bị thương,Chũl bâk,Chul bâc,,,,Bru.txt
"Bị, Lây, mắc phải, dính",Tớt,tất,,,,Bru.txt
Bịa,"Apớt, patoi","a pất, pa toi",,,,Bru.txt
Bia đá,Ngôl tamáu,ngôl ta mau,,,,Bru.txt
Biển,Dỡq lứn,Đợq lừn,,,,Bru.txt
Biên giới,Ralán kuruang,ra làn ca ruàng,,,,Bru.txt
Biết,Dáng,đăng,,,,Bru.txt
Biết gắn kết,Dáng mpruam,đăng ầmpơ rùam,,,,Bru.txt
Biết nghe lời,Dáng puaipamai;,Đăng poaỉ par-naỉ,,,,Bru.txt
Biết ơn,Dáng ỡn,Đăng ơn,,,,Bru.txt
Biết vâng lời,Dáng ĩt santoiq,Đàng ít xăn-toỉq,,,,Bru.txt
Bìm bịp,Apúk,a pục,,,,Bru.txt
Bình đẳng,Tarlĩ li,tar li lì,,,,Bru.txt
Bình thường,Mantơat tiaq,Man-tặt tiaq,,,,Bru.txt
Bình yên,Ralính,ra lình,,,,Bru.txt
Bịt,"Kadái, kapât","ca đay, ca pất",,,,Bru.txt
Bĩu môi,Kubiêr,cù biêr,,,,Bru.txt
Bò,Atrơaq,An- trỏq,,,,Bru.txt
Bỏ,Táh,táh,,,,Bru.txt
Bó (dt),Mpỗl,ầm pôl,,,,Bru.txt
Bó (đgt),Boq,bọ,,,,Bru.txt
Bo bo,Sapua tor,xa poa tor,,,,Bru.txt
Bò cạp,Kaldễm,căl đếm,,,,Bru.txt
Bọ chét,Mpái,ăm pay,,,,Bru.txt
Bỏ dần,Táh la-ữt,táh la ứt,,,,Bru.txt
Bọ hung,"Mpông, pông","ầm pồng, pồng",,,,Bru.txt
Bó sát,Kachơap,Ca-chặp,,,,Bru.txt
Bò tót,Sangũr,Sa-ngur,,,,Bru.txt
Bỏ tù,"Táq tũ, chóh anúh","tã tu, chóh anúh",,,,Bru.txt
Bỏ trấn,Luôiq,luồi,,,,Bru.txt
Bỏ vào,Chóq,chỏ,,,,Bru.txt
Bóc,Pak (lơât),Pắc (lơât),,,,Bru.txt
Bọc,Kuôm,cùam,,,,Bru.txt
Bóc (ra),"Pắk, lơât","pặc, lất",,,,Bru.txt
"Bóc vỏ,  Lột",Lơât,lất,,,,Bru.txt
Bói,"Pol, mữl","pol, mữl",,,,Bru.txt
Bói cá,Nók kutớn,nóc ca tần,,,,Bru.txt
Bom,Bom,bom,,,,Bru.txt
Bọn,Tỗp,tốp,,,,Bru.txt
Bón cơm,Chêm,chềm,,,,Bru.txt
Bón phân,Chóq phon,Chỏq phuân,,,,Bru.txt
Bỏng,Paldóng,păl đóng,,,,Bru.txt
Bóng (dt),"Mul, ók","mul,ók",,,,Bru.txt
Bóng (đgt) Sáng loáng,Plơang,pơ lăng,,,,Bru.txt
Bóng chuyên,Palái apũôl,Pa-lay a-puô-l,,,,Bru.txt
Bóng đá,Palái tân,Pa-lay tân,,,,Bru.txt
Bóng đá,palâi tớn,pa lây tân,,,,Bru.txt
Bóng đèn,Kếng tâu,Kếng tâu,,,,Bru.txt
Bóng mát,Mul ók laham,Mul óc la-ham,,,,Bru.txt
Bong ra,Rukhlắk,Rukhlắk,,,,Bru.txt
Bỏng rạ,Atok,a tọc,,,,Bru.txt
Bỏng rang,Dăh,Dăh,,,,Bru.txt
Bóp,Kuráu,cu rau,,,,Bru.txt
Bóp còi,Kanháiq,căn hay,,,,Bru.txt
Bổ (quả),"Pơah, páh","Pơah, páh",,,,Bru.txt
Bồ câu,Tariap,ta riap,,,,Bru.txt
Bổ củi,"Tadáh,tapáh","Tadáh,tapáh",,,,Bru.txt
Bố dượng,Mpơaq kỗiq,ầm pả cối,,,,Bru.txt
Bộ đội,BỖ dồiq,Bô đôi,,,,Bru.txt
Bồ hóng,Simáng,xi măng,,,,Bru.txt
Bộ mặt,Rung riang,rung riang,,,,Bru.txt
Bộ mặt,Rup riang,rụp riang,,,,Bru.txt
Bố vợ,"Kayaq kũnh, yaq kũnh","ca da kun, dạ cun",,,,Bru.txt
"Bố, mẹ","Mpơằq, mpiq","Ằm-pảq, Am-pịq",,,,Bru.txt
"Bốc  lên, chở",Patiang,pa tiang,,,,Bru.txt
"Bốc lên, Lên, Dậy",Yuôr,Yuôr,,,,Bru.txt
Bốc xuống,Ruôh,Ruôh,,,,Bru.txt
Bôi,"Atia, alĩ","a tia, a li",,,,Bru.txt
Bôi (răng),Tiêt,tiệt,,,,Bru.txt
Bội thu,Sa-ữi dỗi chu,Xa-ưỉ đôi chu,,,,Bru.txt
Bồi vào,"Chir, chơam chóq","chir, chằm chỏ",,,,Bru.txt
Bốn,Pỗn,Pôn,Kantóh muôi bữn Pỗnl náq.,Can-tó-h muôi bưn pôn nả-q.,Tổ một có tám bạn.,Bru.txt
Bồn hoa,pRaku viang piar,Rà-cù viang pìar,,,,Bru.txt
Bồn hoa,Viang piar,viang piar,,,,Bru.txt
Bốn mươi,Pỗn chứt,Pỗn chứt,,,,Bru.txt
Bông,ắk piar,ắk piar,,,,Bru.txt
Bông,"Kâpih, bỗng","kâpih, bỗng",,,,Bru.txt
Bông tai,Tang,tang,,,,Bru.txt
Bờ,Pứh,pứh,,,,Bru.txt
Bở,La-ốh,la-ốh,,,,Bru.txt
Bơi,Lôi,Lôỉ,,,,Bru.txt
Bới (gà),Kariêih,kariêih,,,,Bru.txt
Bới ra,Khĩar,khĩar,,,,Bru.txt
Bởi vì,Kỗ yuaq,Cô dọa,,,,Bru.txt
"Bởi vì, tại vì","Kồ, Kỗ ngkíq","Cô, cô-âng-kỉq",,,,Bru.txt
Bờm,Karuôi,karuôi,,,,Bru.txt
Búa,Panúh,panúh,,,,Bru.txt
Bụi bặm,Brếh lúq,Bơ-rế-h ỉủ-q,,,,Bru.txt
Bụi cây,"Púm, liaq, parul","púm, liaq, parul",,,,Bru.txt
Búi lại,Parnhuôm,parnhuôm,,,,Bru.txt
Bụng,Púng,Pùng,,,,Bru.txt
Bung (dt),Pống,pống,,,,Bru.txt
Búng (quay),Kutiêr,kutiêr,,,,Bru.txt
Búng tay,Kaldánh,kaldánh,,,,Bru.txt
Buộc,Chăq,chăq,,,,Bru.txt
Buộc kết lại,Ploi,ploi,,,,Bru.txt
Buộc túm,Pơok,pơok,,,,Bru.txt
Buổi,Pên,pên,,,,Bru.txt
Buối sáng,Pên tarưp,pên tarưp,,,,Bru.txt
